i,Qned,Sned,Hmax,Qtotmax,Spillmin,Mmax,w,Rq,Rs,river,area
Rebnis,3,3,64,80,0,205560,21.5,2880,2880,Skellefteälven,1
Sadva,3,3,31,70,0,168000,34.6,2880,2880,Skellefteälven,1
Bergnas,4,4,8,160,0,425280,105,60,60,Skellefteälven,1
Slagnas,5,5,7,160,0,768,106.6,240,240,Skellefteälven,1
Bastusel,6,6,100,170,0,8208,110.7,60,150,Skellefteälven,1
Grytfors,7,7,31,165,0,1248,117.2,15,15,Skellefteälven,1
Gallejaur,8,8,214,310,0,3600,118.2,30,150,Skellefteälven,1
Vargfors,9,9,131,320,0,4008,119.6,180,180,Skellefteälven,1
Rengard,10,10,36,220,0,1400,141.5,180,180,Skellefteälven,1
Batfors,11,11,42,280,0,1330,150.2,180,180,Skellefteälven,1
Finnfors,12,12,54,300,0,300,155.3,180,180,Skellefteälven,1
Granfors,13,13,40,240,0,280,155.6,180,180,Skellefteälven,1
Krangfors,14,14,62,240,0,330,156,180,180,Skellefteälven,1
Selsfors,15,15,61,300,0,500,158.4,180,180,Skellefteälven,1
Kvistforsen,0,0,130,300,0,1120,158.5,0,0,Skellefteälven,1
